30371831,1
30371820,8
30371790,19
30328715,30
30371829,1
30371805,5
30371822,8
30371793,18
30371791,19
30354987,39
30371806,5
30371821,8
30371798,20
30371795,18
30371800,21
30371814,17
30371792,19
30354119,36
30371807,5
30371796,20
30393130,35
30393129,35
30371830,1
30358940,11
30371794,18
30371797,20
30371851,14
30371852,14
30372389,26
30371803,3
30354118,36
30288264,7
30380358,40
30369917,21
30288282,2
30363019,22
30371832,4
30371813,6
30288273,9
30371816,17
30371812,6
30371811,6
30371838,10
30331755,7
30371843,12
30374802,13
30371842,12
30371841,12
30371804,3
30371799,21
30380359,40
30372886,15
30380357,40
30392774,35
30371833,4
30371834,4
30371844,16
30394461,18
30394495,23
30304615,19
